Response ID,Create Time,Last Submitted Time,Respondent Email,1. What type of home appliance do you own?,2. Brand of the appliance?,3. Where did you purchase it?,4. City / Region? (e.g: Hyderabad),5. Approximate purchase price (INR)?,6. How old is the appliance? (in years),7. Household size?,8. Daily usage hours?,9. Did you purchase an extended warranty?,10. Service calls made in the last 12 months?,11. Any prior repair history?,12. Have you ever filed a warranty claim for this appliance?,"13. If you filed a claim, what was the outcome?",14. Number of prior warranty claims made?,15. How satisfied are you with the appliance? (1-5 Scale)
ACYDBNhoU0L2IBUI3OXnFPMR_8_CdSabOnsY81VW9kvSFe1ayvvbchSrOL4h5NVDyxhg1xo,2026-09-17T07:20:18.932Z,2026-09-17T07:20:18.932457Z,,Microwave,LG,Authorized Dealer,Tirupati,30000,1-2 years,3-4 members,Less than 2h,No,0,No,No,Not Applicable,0,3
ACYDBNjuk-l9F9FrJR14KoC4Vo_0R3qCSVN1RI8jx_p6sKcXrSUlBFEamvfzopdw8HjxZHk,2026-09-17T07:22:28.907Z,2026-09-17T07:22:28.907332Z,,Refrigerator,Samsung,Authorized Dealer,Guntakal ,20000,3-5 years,5 or more members,More than 8h,No,0,No,No,Not Applicable,0,4
ACYDBNiAEHjDC0pkdDbDCeyCLlP_jFcNBnIqFv8ZCgDj18vdupSbEMlvT5ZRfzHmO0q7tEk,2026-09-17T07:39:01.403Z,2026-09-17T07:39:01.403441Z,,Washing Machine,LG,Authorized Dealer,Coimbatore ,"13,500",More than 5 years,3-4 members,2-4h,Yes,3 or more,Yes,Yes,Approved,1,3
ACYDBNjVqpq6wcR6T1d_wkNY7EN6XnI2h5m8lsvJ1RmQjw94jsaFtOgEf8ocW130e43MCHg,2026-09-17T09:23:31.444Z,2026-09-17T09:23:31.444174Z,,Refrigerator,Samsung,Authorized Dealer,apk,100000,1-2 years,1-2 members,2-4h,Yes,0,Yes,Yes,Rejected,1,3
ACYDBNgnbkwbNXzyL9iUANSnnVP3kxcekHnaKgToaxySZ55npyj-3xbBlyUEmRqHkDlJOSU,2026-09-17T11:02:39.903Z,2026-09-17T11:02:39.903625Z,,Washing Machine,Haier,Authorized Dealer,Aruppukottai ,15000,3-5 years,3-4 members,2-4h,Yes,1,No,Yes,Rejected,0,4
ACYDBNgDsBnNeSvwC5ifO7_RebXSWaT9Ad-rH-PKkipnQY7HePx8-iZpjC1-jwghaI82hOY,2026-09-17T09:53:55.878Z,2026-09-17T09:53:55.878017Z,,Air Conditioner,Haier,Authorized Dealer,Salem,28000,Less than 1 year,3-4 members,2-4h,Yes,1,No,No,Not Applicable,1,4
ACYDBNglz3n6cvRd8JyWiF4eGEuUYNO7nqucdOQ-2k-DNt5DOz5s3PRqb-QYR1Epq8BWKfA,2026-09-17T10:53:30.676Z,2026-09-17T10:53:30.676067Z,,Refrigerator,LG,Authorized Dealer,Chennai,27000,Less than 1 year,5 or more members,More than 8h,No,0,No,No,Not Applicable,2,4
ACYDBNiCfOP_leg5n2EJAM4NpGCElzTpG5tdfpZXh_UTs744ZWsNO5uVIj1AydZl-XSn5gM,2026-09-17T12:18:04.107Z,2026-09-17T12:18:04.107471Z,,Air Conditioner,Voltas,Authorized Dealer,Pollachi ,"40,000",Less than 1 year,3-4 members,2-4h,Yes,0,No,No,Not Applicable,0,4
ACYDBNhz8UKds1yM2YYdSHmcPtbq-ixm2JK8v0FiwJD6U0whWH2vkzy6GisWE-jRCnd9krA,2026-09-17T10:25:56.960Z,2026-09-17T10:25:56.960975Z,,Washing Machine,Haier,Authorized Dealer,Tamil Nadu ,24000,3-5 years,3-4 members,2-4h,No,2,No,No,Not Applicable,3 or more,1
ACYDBNjkXY_MzoIqulccyikjaSeOy3fGrT1TgtMJsclQ28svqBsZbMTi7rnXpYOO2Eo_OCg,2026-09-17T08:24:37.560Z,2026-09-17T08:24:37.560426Z,,Microwave,LG,Authorized Dealer,Palakkad,6000,Less than 1 year,3-4 members,Less than 2h,Yes,0,Yes,Yes,Approved,1,4
